,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url
1109,TJ,Grant,,"5' 10""",155 lbs.,"72.0""",Orthodox,21,5,0,http://ufcstats.com/fighter-details/a26198ba5093147e
1110,Davey,Grant,Dangerous,"5' 8""",135 lbs.,"69.0""",,10,4,0,http://ufcstats.com/fighter-details/113df4fde64735c6
1111,Dwight,Grant,The Body Snatcher,"6' 1""",170 lbs.,"76.0""",Switch,10,2,0,http://ufcstats.com/fighter-details/8be158ca1e5ea6a0
1112,Alexa,Grasso,,"5' 5""",115 lbs.,"66.0""",Orthodox,11,2,0,http://ufcstats.com/fighter-details/e8b731feff72294b
1113,Tony,Gravely,,"5' 5""",135 lbs.,--,Orthodox,18,5,0,http://ufcstats.com/fighter-details/601964f9654f911a
1114,Michael,Graves,,"5' 10""",170 lbs.,"71.0""",,6,0,1,http://ufcstats.com/fighter-details/3f1d23b01c552a13
1115,Shelton,Graves,The Gravedigger,"6' 2""",255 lbs.,"76.0""",Southpaw,7,3,0,http://ufcstats.com/fighter-details/642862d6d63605cd
1116,James,Gray,The Phenom,"5' 9""",135 lbs.,--,Orthodox,4,1,0,http://ufcstats.com/fighter-details/2db65fc038c0018e
1117,Kevin,Gray,Pocket Herc,"5' 4""",125 lbs.,"67.0""",Orthodox,9,4,0,http://ufcstats.com/fighter-details/bb0d290026d7681d
1118,Sam,Greco,,"6' 2""",205 lbs.,--,Orthodox,3,1,1,http://ufcstats.com/fighter-details/6d12031661db8ac8
1119,Bobby,Green,King,"5' 10""",155 lbs.,"71.0""",Orthodox,24,9,1,http://ufcstats.com/fighter-details/887961364be5ceb3
1120,Desmond,Green,The Predator,"5' 10""",155 lbs.,"73.0""",Southpaw,23,8,0,http://ufcstats.com/fighter-details/f046d724d2a84ac5
1121,Maurice,Greene,The Crochet Boss,"6' 7""",258 lbs.,"80.0""",,8,3,0,http://ufcstats.com/fighter-details/068f8a189a47fea6
1122,Matt,Grice,The Real One,"5' 8""",145 lbs.,"70.0""",Orthodox,15,5,0,http://ufcstats.com/fighter-details/bfc2fc38a0e20211
1123,Forrest,Griffin,,"6' 3""",205 lbs.,"77.0""",Orthodox,19,7,0,http://ufcstats.com/fighter-details/fcffee71cff5530e
1124,Tyson,Griffin,,"5' 6""",145 lbs.,"68.0""",Orthodox,15,6,0,http://ufcstats.com/fighter-details/20205040232ed0f3
1125,Max,Griffin,Pain,"5' 11""",170 lbs.,"76.0""",Orthodox,15,6,0,http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d
1126,Jordan,Griffin,Native Psycho,"5' 11""",145 lbs.,"72.0""",Southpaw,17,6,0,http://ufcstats.com/fighter-details/ebef46976554f975
1127,Chad,Griggs,The Grave Digger,"6' 1""",205 lbs.,"73.0""",Orthodox,11,3,0,http://ufcstats.com/fighter-details/fdf18227faa596dd
1128,Chuck,Grigsby,The Reverend,"6' 6""",205 lbs.,--,Orthodox,19,8,0,http://ufcstats.com/fighter-details/7fb4234670271505
1129,Rodrigo,Gripp de Sousa,Riscado,"5' 11""",205 lbs.,--,Orthodox,7,9,0,http://ufcstats.com/fighter-details/dde70a112e053a6c
1130,Josh,Grispi,The Fluke,"5' 11""",145 lbs.,"74.0""",Orthodox,14,5,0,http://ufcstats.com/fighter-details/60ba33c3f555a7a3
1131,Garrett,Gross,Glory to God,"5' 9""",155 lbs.,"69.0""",Orthodox,11,6,0,http://ufcstats.com/fighter-details/6741218640534d8b
1132,Kendall,Grove,Da Spyder,"6' 6""",185 lbs.,"79.0""",Orthodox,13,10,0,http://ufcstats.com/fighter-details/234f3767ff0e5701
1133,Neil,Grove,Goliath,"6' 6""",265 lbs.,--,Orthodox,11,5,1,http://ufcstats.com/fighter-details/36a432f22144843e
1134,Chris,Gruetzemacher,Gritz,"5' 8""",155 lbs.,"68.0""",Orthodox,14,3,0,http://ufcstats.com/fighter-details/feaf00f3373435d6
1135,Vik,Grujic,The Spartan,"5' 11""",170 lbs.,"73.0""",Orthodox,7,6,0,http://ufcstats.com/fighter-details/1e7483dbff40b84b
1136,Mike,Grundy,,"5' 7""",145 lbs.,"72.0""",Orthodox,12,1,0,http://ufcstats.com/fighter-details/56fcb2c4d99f9d1b
1137,Wang,Guan,The Dongbei Tiger,"5' 9""",145 lbs.,"71.0""",Orthodox,20,1,1,http://ufcstats.com/fighter-details/dd12382f28296f7b
1138,Nandor,Guelmino,The Hun,"6' 3""",230 lbs.,"76.0""",,11,5,1,http://ufcstats.com/fighter-details/1abfb658cd4f8533
1139,Fabricio,Guerreiro,,"5' 10""",145 lbs.,--,,21,5,0,http://ufcstats.com/fighter-details/2963369e327e1979
